brand, product_name, shipping
EVGA,EVGA GeForce RTX 2080 SUPER FTW3 HYDRO COPPER GAMING Video Card| 08G-P4-3289-KR| 8GB GDDR6| RGB LED| iCX2 Technology| Metal Backplate,$3.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING| 08G-P4-3173-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,$6.99 Shipping
EVGA,EVGA GeForce RTX 2070 SUPER KO GAMING Video Card| 08G-P4-2072-KR| 8GB GDDR6| Dual Fans,$8.35 Shipping
ASUS,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XTGAMING OC-8GD Video Card,Free Shipping
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,$3.99 Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT GAMING X 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,Free Shipping
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TIXEB-11GC 11GB 256-Bit GDDR6 PCI Express 3.0 x4 SLI Support ATX Gaming Box,Free Shipping
EVGA,EVGA GeForce RTX 2070 SUPER XC GAMING| 08G-P4-3172-KR| 8GB GDDR6| Dual HDB Fans| RGB LED| Metal Backplate,Free Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card| RX5700XT PGD 8GO,Free Shipping
NVIDIA,NVIDIA TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
XFX,XFX Radeon RX 5700 XT DirectX 12 RX-57XT83LD8 8GB 256-Bit GDDR6 PCI Express 4.0 ATX Video Card,Free Shipping
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
ASUS,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),Free Shipping
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready CrossFireX Support Video Card,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
XFX,XFX RX 5700 XT THICC III ULTRA 8GB BOOST UP TO 2025 MHz GDDR6 3xDP HDMI Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XTAORUS-8GD Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 SUPER FTW3 ULTRA GAMING Video Card| 08G-P4-3287-KR| 8GB GDDR6| iCX2 Technology| RGB LED| Metal Backplate,$3.99 Shipping
ASUS,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-MINI 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$6.99 Shipping
ASUS,ASUS TUF Gaming X3 Radeon RX 5700 XT DirectX 12 TUF 3-RX5700XT-O8G-EVO-GAMING 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,$3.99 Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,
ASUS,ASUS Dual Radeon RX 5700 XT DirectX 12 DUAL-RX5700XT-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING OC-8GD (rev. 2.0) 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,Free Shipping
PowerColor,PowerColor RED DEVIL Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHE/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,Free Shipping
